"Subject","Group","Condition","Trial","VideoName","P_V","M_V","ClozeScore","zClozeScore","cClozeScore","PathPrimeV","MannerPrimeV"
"6","L2","Path",15,"tgm_sactoi",1,0,27,0.310367307541936,2.50847457627119,"sube","arrastra"
"6","L2","Path",16,"prd_balnei",1,0,27,0.310367307541936,2.50847457627119,"baja","rueda"
"6","L2","Path",17,"tge_chagro",1,0,27,0.310367307541936,2.50847457627119,"entra en","arrastra"
"6","L2","Path",18,"trd_brocol",1,0,27,0.310367307541936,2.50847457627119,"baja","tira de"
"6","L2","Path",19,"pre_pnemai",1,0,27,0.310367307541936,2.50847457627119,"entra en","rueda"
"6","L2","Path",20,"pgt_panrue",1,0,27,0.310367307541936,2.50847457627119,"cruza","empuja"
"6","L2","Path",21,"prd_balcol",1,0,27,0.310367307541936,2.50847457627119,"baja","rueda"
"6","L2","Path",22,"tge_chamai",1,0,27,0.310367307541936,2.50847457627119,"entra en","arrastra"
"6","L2","Path",23,"prt_rourue",1,0,27,0.310367307541936,2.50847457627119,"cruza","rueda"
"6","L2","Path",24,"pgm_paqtoi",1,0,27,0.310367307541936,2.50847457627119,"sube","empuja"
"6","L2","Path",25,"tgd_malcol",1,0,27,0.310367307541936,2.50847457627119,"baja","arrastra"
"6","L2","Path",26,"pre_pnegro",1,0,27,0.310367307541936,2.50847457627119,"entra en","rueda"
"6","L2","Path",27,"tgm_sacdun",1,0,27,0.310367307541936,2.50847457627119,"sube","arrastra"
"6","L2","Path",28,"pgd_valcol",1,0,27,0.310367307541936,2.50847457627119,"baja","empuja"
"6","L2","Path",29,"trt_pourou",1,0,27,0.310367307541936,2.50847457627119,"cruza","tira de"
"6","L2","Path",30,"pgd_valnei",1,0,27,0.310367307541936,2.50847457627119,"baja","empuja"
"6","L2","Path",31,"tgt_cherue",1,0,27,0.310367307541936,2.50847457627119,"cruza","arrastra"
"6","L2","Path",32,"pre_pnegro",1,0,27,0.310367307541936,2.50847457627119,"entra en","rueda"
"7","L2","Baseline",1,"prt_rourue",0,1,14,-1.29809029303012,-10.4915254237288,"cruza","rueda"
"7","L2","Baseline",2,"pge_tabmai",0,0,14,-1.29809029303012,-10.4915254237288,"entra en","empuja"
"7","L2","Baseline",3,"tgm_sactoi",0,0,14,-1.29809029303012,-10.4915254237288,"sube","arrastra"
"7","L2","Baseline",4,"trd_bronei",0,0,14,-1.29809029303012,-10.4915254237288,"baja","tira de"
"7","L2","Baseline",5,"prm_boutoi",0,0,14,-1.29809029303012,-10.4915254237288,"sube","rueda"
"7","L2","Baseline",6,"tgt_cherue",0,0,14,-1.29809029303012,-10.4915254237288,"cruza","arrastra"
"7","L2","Baseline",7,"pre_pnegro",0,0,14,-1.29809029303012,-10.4915254237288,"entra en","rueda"
"7","L2","Baseline",8,"tgd_malnei",0,0,14,-1.29809029303012,-10.4915254237288,"baja","arrastra"
"7","L2","Baseline",9,"trm_voidun",0,0,14,-1.29809029303012,-10.4915254237288,"sube","tira de"
"7","L2","Baseline",10,"pre_pnemai",0,0,14,-1.29809029303012,-10.4915254237288,"entra en","rueda"
"7","L2","Baseline",11,"pgd_valnei",0,1,14,-1.29809029303012,-10.4915254237288,"baja","empuja"
"7","L2","Baseline",12,"prt_rourou",0,1,14,-1.29809029303012,-10.4915254237288,"cruza","rueda"
"7","L2","Baseline",13,"tgm_sacdun",0,0,14,-1.29809029303012,-10.4915254237288,"sube","arrastra"
"7","L2","Baseline",14,"trt_pourou",0,0,14,-1.29809029303012,-10.4915254237288,"cruza","tira de"
"7","L2","Baseline",15,"pgm_paqdun",0,1,14,-1.29809029303012,-10.4915254237288,"sube","empuja"
"7","L2","Baseline",16,"tgt_cherou",0,0,14,-1.29809029303012,-10.4915254237288,"cruza","arrastra"
"7","L2","Baseline",17,"pge_tabgro",0,1,14,-1.29809029303012,-10.4915254237288,"entra en","empuja"
"7","L2","Baseline",18,"trt_pourue",0,0,14,-1.29809029303012,-10.4915254237288,"cruza","tira de"
