"Subject","Condition","Trial","Word1","Word2","Word3","CorrectChoice","Response","Accuracy"
10,"MannerPrimeSentence",22,"un puente","una duna","una estantería","2","2","1"
10,"MannerPrimeSentence",23,"una lámpara","un almacén","una rueda de carreta","3","3","1"
10,"MannerPrimeSentence",24,"una maleta","una pendiente","un plato","1","1","1"
10,"MannerPrimeSentence",25,"un cerro","una carretera","una piedra","2","2","1"
10,"MannerPrimeSentence",26,"un cuarto","un tablón","una carretilla","3","3","1"
11,"NoPrime",1,"un barril","unos peldaños","un flotador","3","3","1"
11,"NoPrime",2,"un collado","un patinete","una bala de paja","3","3","1"
11,"NoPrime",3,"un cerro","una carretera","una piedra","2","2","1"
11,"NoPrime",4,"una habitación","un paquete","un sillón","2","2","1"
11,"NoPrime",5,"un cuarto","un tablón","una carretilla","3","3","1"
11,"NoPrime",6,"una esfera","una sala","un baúl","3","3","1"
11,"NoPrime",7,"un granero","un repecho","un muñeco","1","1","1"
11,"NoPrime",8,"un saco","un vestíbulo","un colchón","1","1","1"
11,"NoPrime",9,"una mesa","una escalera","un triciclo","1","1","1"
11,"NoPrime",10,"una escuela","un palo","un caballo de juguete","3","3","1"
11,"NoPrime",11,"una lámpara","un almacén","una rueda de carreta","3","3","1"
11,"NoPrime",12,"un hula hoop","un local","un carrito de la compra","3","3","1"
11,"NoPrime",13,"un jardín","un cilindro","una colina nevada","3","3","1"
11,"NoPrime",14,"una escalinata","una manta","una cueva","3","3","1"
11,"NoPrime",15,"una rueda","una vía","un carro","1","1","1"
11,"NoPrime",16,"una plaza","un carrito de bebé","un aro","2","2","1"
11,"NoPrime",17,"un puente","una duna","una estantería","2","2","1"
11,"NoPrime",18,"un cesto","una cómoda","una parcela","1","1","1"
11,"NoPrime",19,"una silla","una botella","un aula","1","1","1"
11,"NoPrime",20,"un armario","un coche de juguete","un pasillo","2","2","1"
11,"NoPrime",21,"una loma","un trineo","una calle","3","3","1"
11,"NoPrime",22,"una maleta","una pendiente","un plato","1","1","1"
11,"NoPrime",23,"una colina","un tronco","unos escalones","1","1","1"
11,"NoPrime",24,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
11,"NoPrime",25,"una papelera","un tejado","unas gradas","2","2","1"
11,"NoPrime",26,"un camino","un jardín","un barril","1","1","1"
12,"NoPrime",1,"un saco","un vestíbulo","un colchón","1","1","1"
12,"NoPrime",2,"un granero","un repecho","un muñeco","1","1","1"
12,"NoPrime",3,"una loma","un trineo","una calle","3","3","1"
12,"NoPrime",4,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
12,"NoPrime",5,"un cerro","una carretera","una piedra","2","2","1"
12,"NoPrime",6,"un armario","un coche de juguete","un pasillo","2","2","1"
12,"NoPrime",7,"una rueda","una vía","un carro","1","1","1"
12,"NoPrime",8,"una lámpara","un almacén","una rueda de carreta","3","3","1"
12,"NoPrime",9,"una escuela","un palo","un caballo de juguete","3","3","1"
12,"NoPrime",10,"una esfera","una sala","un baúl","3","3","1"
12,"NoPrime",11,"un collado","un patinete","una bala de paja","3","3","1"
12,"NoPrime",12,"un camino","un jardín","un barril","1","1","1"
12,"NoPrime",13,"una papelera","un tejado","unas gradas","2","2","1"
12,"NoPrime",14,"un barril","unos peldaños","un flotador","3","3","1"
12,"NoPrime",15,"un jardín","un cilindro","una colina nevada","3","3","1"
12,"NoPrime",16,"una maleta","una pendiente","un plato","1","1","1"
12,"NoPrime",17,"un puente","una duna","una estantería","2","2","1"
12,"NoPrime",18,"un hula hoop","un local","un carrito de la compra","3","3","1"
12,"NoPrime",19,"un cuarto","un tablón","una carretilla","3","3","1"
12,"NoPrime",20,"una mesa","una escalera","un triciclo","1","1","1"
12,"NoPrime",21,"un cesto","una cómoda","una parcela","1","1","1"
12,"NoPrime",22,"una colina","un tronco","unos escalones","1","1","1"
12,"NoPrime",23,"una silla","una botella","un aula","1","1","1"
12,"NoPrime",24,"una habitación","un paquete","un sillón","2","2","1"
12,"NoPrime",25,"una escalinata","una manta","una cueva","3","3","1"
12,"NoPrime",26,"una plaza","un carrito de bebé","un aro","2","2","1"
13,"PathPrimeSentence",1,"una colina","un tronco","unos escalones","1","1","1"
13,"PathPrimeSentence",2,"una rueda","una vía","un carro","1","1","1"
13,"PathPrimeSentence",3,"un saco","un vestíbulo","un colchón","1","1","1"
13,"PathPrimeSentence",4,"una escalinata","una manta","una cueva","3","3","1"
13,"PathPrimeSentence",5,"un granero","un repecho","un muñeco","1","1","1"
13,"PathPrimeSentence",6,"un collado","un patinete","una bala de paja","3","3","1"
13,"PathPrimeSentence",7,"un cuarto","un tablón","una carretilla","3","3","1"
13,"PathPrimeSentence",8,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
13,"PathPrimeSentence",9,"una lámpara","un almacén","una rueda de carreta","3","3","1"
13,"PathPrimeSentence",10,"una habitación","un paquete","un sillón","2","2","1"
13,"PathPrimeSentence",11,"un puente","una duna","una estantería","2","2","1"
13,"PathPrimeSentence",12,"una plaza","un carrito de bebé","un aro","2","2","1"
13,"PathPrimeSentence",13,"una mesa","una escalera","un triciclo","1","1","1"
13,"PathPrimeSentence",14,"un jardín","un cilindro","una colina nevada","3","3","1"
13,"PathPrimeSentence",15,"una silla","una botella","un aula","1","1","1"
13,"PathPrimeSentence",16,"un armario","un coche de juguete","un pasillo","2","2","1"
13,"PathPrimeSentence",17,"una papelera","un tejado","unas gradas","2","2","1"
13,"PathPrimeSentence",18,"una maleta","una pendiente","un plato","1","1","1"
13,"PathPrimeSentence",19,"un camino","un jardín","un barril","1","1","1"
13,"PathPrimeSentence",20,"una esfera","una sala","un baúl","3","1","0"
13,"PathPrimeSentence",21,"un cerro","una carretera","una piedra","2","2","1"
13,"PathPrimeSentence",22,"un hula hoop","un local","un carrito de la compra","3","3","1"
13,"PathPrimeSentence",23,"una escuela","un palo","un caballo de juguete","3","3","1"
13,"PathPrimeSentence",24,"un cesto","una cómoda","una parcela","1","1","1"
13,"PathPrimeSentence",25,"un barril","unos peldaños","un flotador","3","3","1"
13,"PathPrimeSentence",26,"una loma","un trineo","una calle","3","3","1"
14,"PathPrimeSentence",1,"una plaza","un carrito de bebé","un aro","2","2","1"
14,"PathPrimeSentence",2,"una loma","un trineo","una calle","3","3","1"
14,"PathPrimeSentence",3,"una escuela","un palo","un caballo de juguete","3","3","1"
14,"PathPrimeSentence",4,"una habitación","un paquete","un sillón","2","2","1"
14,"PathPrimeSentence",5,"una escalinata","una manta","una cueva","3","3","1"
14,"PathPrimeSentence",6,"una papelera","un tejado","unas gradas","2","2","1"
14,"PathPrimeSentence",7,"un granero","un repecho","un muñeco","1","1","1"
14,"PathPrimeSentence",8,"una maleta","una pendiente","un plato","1","1","1"
14,"PathPrimeSentence",9,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
14,"PathPrimeSentence",10,"un collado","un patinete","una bala de paja","3","3","1"
14,"PathPrimeSentence",11,"un jardín","un cilindro","una colina nevada","3","3","1"
14,"PathPrimeSentence",12,"una rueda","una vía","un carro","1","1","1"
14,"PathPrimeSentence",13,"un cerro","una carretera","una piedra","2","2","1"
14,"PathPrimeSentence",14,"un cesto","una cómoda","una parcela","1","1","1"
14,"PathPrimeSentence",15,"un camino","un jardín","un barril","1","1","1"
14,"PathPrimeSentence",16,"una mesa","una escalera","un triciclo","1","1","1"
14,"PathPrimeSentence",17,"una silla","una botella","un aula","1","1","1"
14,"PathPrimeSentence",18,"una lámpara","un almacén","una rueda de carreta","3","3","1"
14,"PathPrimeSentence",19,"un armario","un coche de juguete","un pasillo","2","2","1"
14,"PathPrimeSentence",20,"un saco","un vestíbulo","un colchón","1","1","1"
14,"PathPrimeSentence",21,"un cuarto","un tablón","una carretilla","3","3","1"
14,"PathPrimeSentence",22,"un barril","unos peldaños","un flotador","3","3","1"
14,"PathPrimeSentence",23,"una colina","un tronco","unos escalones","1","1","1"
14,"PathPrimeSentence",24,"un puente","una duna","una estantería","2","2","1"
14,"PathPrimeSentence",25,"un hula hoop","un local","un carrito de la compra","3","3","1"
14,"PathPrimeSentence",26,"una esfera","una sala","un baúl","3","1","0"
